to_replace,value
Jammu and Kashmir,Jammu & Kashmir
Delhi,NCT OF Delhi
Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli and Daman & Diu
Andaman and Nicobar Islands,Andaman & Nicobar Islands
A.& N.Islands,Andaman & Nicobar Islands
